City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
297,killybegs,100,IE,1555802523,95,54.63,-8.45,50.0,4.0
298,portland,1,US,1555802464,45,45.52,-122.67,66.0,12.75
299,richards bay,92,ZA,1555802680,79,-28.77,32.06,75.98,24.16
300,handia,0,IN,1555799400,61,25.36,82.19,80.6,4.7
301,bumba,89,CD,1555802681,67,2.18,22.47,78.16,1.45
302,urshelskiy,64,RU,1555802681,58,55.68,40.22,43.21,2.62
303,mahibadhoo,100,MV,1555802681,71,3.78,72.97,84.77,12.28
304,kristiansund,100,NO,1555800600,81,63.12,7.73,48.2,26.4
305,kilifi,95,KE,1555802681,87,-3.63,39.85,77.33,8.25
306,havelock,40,US,1555802581,72,34.88,-76.9,66.2,11.41
307,fort nelson,40,CA,1555801200,18,58.81,-122.69,50.0,6.93
308,santa maria,75,BR,1555797600,94,-29.69,-53.81,71.6,1.12
309,saint george,40,GR,1555797000,81,39.45,22.34,44.6,4.7
310,belaya gora,57,RU,1555802352,81,68.54,146.19,20.69,9.78
311,rantepao,99,ID,1555802683,94,-2.97,119.9,65.33,0.49
312,kyabe,61,TD,1555802683,26,9.45,18.94,93.84,4.99
313,homer,40,US,1555802211,55,59.64,-151.54,41.0,9.17
314,semporna,75,MY,1555797600,88,4.48,118.61,75.2,3.36
315,lasa,40,CY,1555801200,71,34.92,32.53,51.8,14.99
316,kamenka,79,RU,1555802540,42,53.19,44.05,41.0,2.95
317,upernavik,100,GL,1555802342,77,72.79,-56.15,14.78,5.37
318,cartagena,90,ES,1555802678,87,37.63,-1.0,59.0,25.28
319,maragogi,100,BR,1555802684,93,-9.01,-35.22,76.76,3.51
320,vanimo,47,PG,1555802684,74,-2.67,141.3,82.59,3.69
321,ryotsu,98,JP,1555797600,71,38.08,138.43,50.0,4.7
322,cardoso,0,BR,1555802539,69,-20.08,-49.91,72.64,3.6
323,santana do livramento,32,BR,1555802685,92,-30.89,-55.53,66.82,6.44
324,riyadh,0,SA,1555797600,31,24.63,46.72,75.2,6.93
325,kiama,5,AU,1555802270,100,-34.67,150.86,73.0,4.36
326,cherskiy,69,RU,1555802339,83,68.75,161.3,6.52,3.02
327,pacific grove,1,US,1555802298,59,36.62,-121.92,64.4,24.16
328,bubaque,0,GW,1555802285,72,11.28,-15.83,76.6,12.5
329,kununurra,67,AU,1555799400,83,-15.77,128.74,75.2,9.37
330,makiling,20,PH,1555802419,61,14.15,121.14,86.0,2.24
331,maralal,79,KE,1555802685,82,1.1,36.7,65.33,5.41
332,krasnokamensk,0,RU,1555802686,17,50.1,118.04,37.34,9.86
333,abu samrah,100,SY,1555802686,80,35.3,37.18,49.97,4.56
334,tommot,91,RU,1555802686,77,58.97,126.27,27.28,9.51
335,hami,87,CN,1555802316,28,42.84,93.51,69.99,14.32
336,buseresere,75,TZ,1555802686,94,-3.01,31.92,64.57,3.38
337,dunedin,98,NZ,1555801739,74,-45.87,170.5,55.99,11.01
338,baruun-urt,0,MN,1555802686,22,46.68,113.28,40.29,11.95
339,eyl,40,SO,1555802349,72,7.98,49.82,79.6,7.52
340,sept-iles,90,CA,1555801200,69,50.2,-66.38,39.2,2.24
341,matay,0,EG,1555802375,59,28.42,30.79,58.92,12.17
342,candolim,20,IN,1555799400,74,15.52,73.76,80.6,4.7
343,wattegama,100,LK,1555802400,94,7.35,80.68,73.18,1.86
344,oistins,40,BB,1555797600,74,13.07,-59.53,80.6,19.46
345,agadez,1,NE,1555800960,8,16.97,7.99,84.2,8.99
346,pamplona,4,ES,1555802622,76,42.82,-1.64,55.4,5.82
347,timon,40,BR,1555797600,88,-5.1,-42.84,82.4,4.7
348,seymchan,65,RU,1555802687,92,62.93,152.39,29.58,5.44
349,harlingen,1,US,1555802456,37,26.19,-97.7,86.0,18.34
350,grand bank,90,CA,1555802094,100,47.1,-55.77,43.0,13.87
351,coihaique,0,CL,1555797600,81,-45.58,-72.07,50.0,5.82
352,turayf,0,SA,1555801200,76,31.68,38.65,50.0,12.75
353,wroclaw,0,PL,1555802410,71,51.1,17.03,44.01,1.12
354,tsaratanana,0,MG,1555802688,85,-16.8,47.65,67.02,9.57
355,kathmandu,20,NP,1555798800,87,27.71,85.32,57.2,3.36
356,singuilucan,0,MX,1555802688,27,19.97,-98.52,70.39,12.97
357,laguna,20,MX,1555796460,24,27.52,-110.01,89.6,14.99
358,luancheng,100,CN,1555797600,93,37.88,114.65,50.0,4.47
359,gizo,40,IL,1555802635,62,31.8,34.94,60.01,12.75
360,takoradi,100,GH,1555802301,83,4.89,-1.75,80.52,5.53
361,kallifitos,3,GR,1555802678,74,41.17,24.22,51.01,2.89
362,airai,59,TL,1555802328,62,-8.93,125.41,80.81,4.38
363,chegdomyn,33,RU,1555802689,58,51.13,133.04,35.81,7.58
364,arlit,0,NE,1555802689,7,18.74,7.39,78.79,2.15
365,aquiraz,20,BR,1555802679,88,-3.9,-38.39,79.0,3.36
366,lazaro cardenas,20,MX,1555802589,8,28.39,-105.62,91.4,18.34
367,cambrai,0,FR,1555802629,51,50.18,3.24,60.01,8.05
368,sur,0,OM,1555802689,30,22.57,59.53,85.74,9.69
369,conde,99,BR,1555802690,97,-11.81,-37.61,74.36,1.81
370,tautira,20,PF,1555801984,70,-17.73,-149.15,87.8,9.17
371,finschhafen,69,PG,1555802690,59,-6.6,147.85,79.03,3.71
372,rabo de peixe,75,PT,1555802655,82,37.8,-25.58,60.8,8.05
373,san martin,75,US,1555802688,51,37.08,-121.61,64.4,17.22
374,emmendingen,0,DE,1555802504,47,48.12,7.85,55.99,5.82
375,port augusta,78,AU,1555802113,87,-32.49,137.76,62.01,9.17
376,pochinki,52,RU,1555802691,63,54.7,44.85,38.26,2.8
377,terney,69,RU,1555802691,44,45.05,136.61,49.61,0.92
